Game,Slug,Category,Added Guide Words,Sections Added
Rock Paper Scissors,rock-paper-scissors,Classic Games,659,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Number Guess,number-guess,Classic Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Reaction Time,reaction-time,Classic Games,634,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Connect Four,connect-four,Classic Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Pong,pong,Classic Games,621,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Color Match,color-match,Classic Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Simon Says,simon-says,Memory Games,636,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Pattern Memory,pattern-memory,Memory Games,636,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Minesweeper Hard,minesweeper-hard,Classic Games,641,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
History Quiz,history-quiz,Quiz Games,640,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Breakout,breakout,Classic Games,621,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Lights Out,lights-out,Memory Games,639,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Memory Pro,memory-pro,Memory Games,636,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Fruit Pop Blast,fruit-pop-blast,Puzzle Games,676,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Rainbow Bubble Pop,rainbow-bubble-pop,Puzzle Games,659,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
City Dash Runner,city-dash-runner,Runner Games,661,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Block Puzzle World,block-puzzle-world,Puzzle Games,660,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Color Joy Studio,color-joy-studio,Coloring Games,662,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Mini Race Rush,mini-race-rush,Racing Games,650,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
Parking Puzzle,parking-puzzle,Puzzle Games,642,"Guide, How to Play, Controls, Tips, Strategy, FAQ, Related Games, Popular Searches"
